Date,Cases,New Cases
03/09/20,0,0
03/10/20,1,1
03/11/20,3,2
03/12/20,6,3
03/13/20,9,3
03/14/20,9,0
03/15/20,10,1
03/16/20,15,5
03/17/20,24,9
03/18/20,35,11
03/19/20,55,20
03/20/20,74,19
03/21/20,95,21
03/22/20,131,36
03/23/20,155,24
03/24/20,169,14
03/25/20,247,78
03/26/20,303,56
03/27/20,367,64
03/28/20,439,72
03/29/20,488,49
03/30/20,549,61
03/31/20,631,82
04/01/20,731,100
04/02/20,831,100
04/03/20,921,90
04/04/20,1015,94
04/05/20,1112,97
04/06/20,1155,43
04/07/20,1261,106
04/08/20,1324,63
04/09/20,1432,108
04/10/20,1537,105
04/11/20,1644,107
04/12/20,1723,79
04/13/20,1788,65
04/14/20,1877,89
04/15/20,1986,109
04/16/20,2066,80
04/17/20,2190,124
04/18/20,2324,134
04/19/20,2428,104
04/20/20,2512,84
04/21/20,2602,90
04/22/20,2683,81
04/23/20,2763,80
04/24/20,2834,71
04/25/20,2909,75
04/26/20,3014,105
04/27/20,3105,91
04/28/20,3240,135
04/29/20,3352,112
04/30/20,3531,179
05/01/20,3718,187
05/02/20,3899,181
05/03/20,4133,234
05/04/20,4370,237
05/05/20,4623,253
05/06/20,4869,246
05/07/20,5120,251
05/08/20,5369,249
05/09/20,5619,250
05/10/20,5870,251
05/11/20,6123,253
05/12/20,6359,236
05/13/20,6602,243
05/14/20,6837,235
05/15/20,7036,199
05/16/20,7250,214
05/17/20,7455,205
05/18/20,7679,224
05/19/20,7904,225
05/20/20,8090,186
05/21/20,8273,183
05/22/20,8477,204
05/23/20,8649,172
05/24/20,8827,178
05/25/20,8998,171
05/26/20,9188,190
05/27/20,9385,197
05/28/20,9587,202
05/29/20,9787,200
05/30/20,10006,219
05/31/20,10234,228
06/01/20,10462,228
06/02/20,10719,257
